ADANIENT,ASTRAL,BAJFINANCE,BHARATFORG,BPCL,CHOLAFIN,DABUR,GAIL,HDFCBANK,HINDPETRO,IDEA,INDUSINDBK,IOC,ITC,JSWSTEEL,JUBILANT,LT,M&M,MINDTREE,NESTLEIND,NMDC,PETRONET,RECLTD,RELAXO,SBIN,SUNPHARMA,TATAMOTORS,TCS,WHIRLPOOL,WIPRO
0.121,0.235,0.248,0.131,0.092,0.168,0.095,0.167,0.168,0.276,0.024,0.132,0.222,0.069,0.684,0.116,0.07,0.129,0.128,0.097,0.01,0.147,0.063,0.26,0.042,0.073,0.073,0.131,0.189,0.134
10.288,1.578,2.225,2.133,1.97,2.199,1.083,1.428,1.489,1.637,1.732,2.737,1.102,0.917,2.775,1.985,2.456,1.701,1.089,0.837,2.409,1.504,3.022,1.359,2.833,1.27,2.964,0.659,1.85,0.614
1.578,6.042,1.526,1.024,0.898,1.381,0.486,0.378,0.755,0.668,0.698,1.38,0.461,0.557,0.947,0.815,1.005,0.938,0.674,0.448,1.085,0.725,1.173,0.876,1.191,0.538,1.363,0.447,1.086,0.404
2.225,1.526,6.348,1.583,1.416,2.534,0.777,0.419,1.047,0.914,1.216,2.494,0.462,0.569,1.34,1.472,1.472,1.287,0.928,0.667,1.628,0.858,2.165,1.206,2.024,0.757,2.132,0.556,1.453,0.121
2.133,1.024,1.583,14.612,1.459,2.284,0.741,22.197,10.358,29.536,1.304,2.012,25.466,5.478,70.758,1.825,6.629,10.572,0.817,0.47,2.316,10.288,1.979,1.263,1.929,0.822,2.596,0.686,1.799,14.932
1.97,0.898,1.416,1.459,5.127,1.229,0.653,1.624,1.148,4.549,1.379,1.586,3.192,0.92,1.744,1.188,1.546,1.181,0.518,0.529,1.462,1.266,1.753,0.684,1.707,0.69,1.628,0.329,1.252,0.492
2.199,1.381,2.534,2.284,1.229,7.413,0.864,0.971,1.221,1.17,1.322,2.527,0.824,0.566,2.046,1.609,1.745,1.553,0.962,0.598,1.404,1.199,2.063,1.238,1.938,0.569,2.239,0.629,1.7,0.538
1.083,0.486,0.777,0.741,0.653,0.864,2.467,0.473,0.539,0.615,0.624,0.895,0.408,0.695,0.809,0.833,0.733,0.599,0.623,0.561,0.683,0.584,0.836,0.558,0.779,0.722,1.004,0.365,0.697,0.419
1.428,0.378,0.419,22.197,1.624,0.971,0.473,55.269,21.772,70.462,0.956,0.811,62.205,11.6,172.573,1.111,12.118,23.405,0.211,0.276,2.327,22.254,1.357,0.571,1.202,0.64,1.448,1.859,0.664,34.605
1.489,0.755,1.047,10.358,1.148,1.221,0.539,21.772,20.515,29.096,0.954,1.83,24.905,5.48,69.708,1.33,6.429,10.264,0.275,0.354,1.491,9.633,1.164,0.757,1.371,0.574,1.54,0.479,0.887,14.735
1.637,0.668,0.914,29.536,4.549,1.17,0.615,70.462,29.096,99.387,1.389,1.174,83.854,15.185,234.774,1.353,15.845,28.978,-0.004,0.412,3.13,29.392,1.723,0.703,1.643,0.572,1.547,-0.002,1.166,46.025
1.732,0.698,1.216,1.304,1.379,1.322,0.624,0.956,0.954,1.389,13.088,1.826,0.722,0.697,1.855,1.213,1.529,1.106,0.806,0.379,1.255,1.236,1.61,0.797,1.805,1.036,1.988,0.423,1.176,0.562
